prd_cd,prd_brnd_nm,prd_brnd_cd,prd_tp_cat_vl,prd_nm,item_index
110640000322,프리메라,11064,필링 & 스크럽,[대용량] 페이셜 마일드 필링,1005
002061000558,에뛰드하우스,00206,클렌징 워터,[1+1행사] 몬스터 미셀라 클렌징 워터 700ml,1006
110650000679,마몽드,11065,에센스 & 세럼,레드 에너지 리커버리 세럼 50ml (세트/단품),1007
002081000057,릴리바이레드,00208,블러셔,러브 타로 블러셔 3구 팔레트 (피치.핑크),1008
003021000022,아로마티카,00302,샴푸,사이프러스 딥 클렌징 샴푸 400ml,1009
111270000117,일리윤,11127,바디워시,세라마이드 아토 6.0 탑투토워시,1010
110640000297,프리메라,11064,메이크업 리무버,메이크업 리뉴 티슈,1011
111771001389,이니스프리,11177,블러셔,[LTD]블러셔 팔레트,1012
111110000010,오딧세이,11111,스킨 & 토너,블랙 스킨 리파이너,1013
003021000089,아로마티카,00302,린스 & 컨디셔너,[리필]로즈마리 헤어 씨크닝 컨디셔너 400ml,1014
111310100638,미쟝센,11131,컬러,[2입] 퍼펙트컬러 멋내기 11G 골드블론드,1015
001041000035,센카,00104,클렌징 폼,올클리어 더블더블유 2종,1016
319980000119,"",31998,생활용품,[P][판매중지] AP 생발효 프리미엄 (낱개세트판매),1017
000511000150,피카소,00051,눈(Eye) 전용,777 아이섀도우,1018
002151000002,맥스팩터,00215,파운데이션,페이스피니티 올데이 플로우리스 3 in 1 파운데이션,1019
002151000021,맥스팩터,00215,페이스,페이스피니티 올데이 플로우리스 파운데이션+컨실러 세트,1020
611121000126,에스쁘아,61112,아이섀도우,메탈릭 아이 글리터,1021
111771001047,이니스프리,11177,파운데이션,마이 컨실러 스팟 커버(4종택1),1022
002151000025,맥스팩터,00215,프라이머 & 베이스,미라클 프렙 프라이머,1023
111810000001,아웃런,11181,선케어,울트라 마라톤 선크림,1024
007011000061,프라고나르퍼퓸,00701,향수,프라고나르 에뚜알 퍼퓸 30ML,1025
111860000031,프라도어,11186,바디모이스처라이저,[P] 더티솔티패션 바디 프라이머 크림(Jar) 180ml,1026
110640000293,프리메라,11064,선케어,스킨 릴리프 안티폴루션 선 스틱 SPF35 PA++,1027
110650000689,마몽드,11065,스킨 & 토너,[대용량] 캐모마일 퓨어 토너,1028
005041000002,메디힐리,00504,건강/위생용품,허리온팩,1029
111070000583,헤라,11107,로션 & 에멀젼,시그니아 에멀젼,1030
001091000018,미팩토리,00109,클렌징 오일,[미팩토리] 슈퍼딥클렌징오일,1031
220110000064,구딸파리,22011,여성향수,쁘띠뜨 쉐리 EDP,1032
005031000062,라 리베라,00503,바디워시,[트래블키트] 마더니아 순한 여성청결제 40ml,1033
111771001404,이니스프리,11177,에센스 & 세럼,브라이트닝 포어 세럼 30mL,1034
111290100588,해피바스,11129,클렌징 워터,[3입] 마이크로 미셀라 클렌징워터,1035
111310000431,미쟝센,11131,에센스 & 세럼 & 오일,아우라 세럼 3종 택1,1036
111771001245,이니스프리,11177,마스크 & 팩,트루케어 알란토인 랩핑 마스크 17g,1037
111380000158,아모레퍼시픽,11138,립케어 & 립밤,듀얼 너리싱 립 세럼,1038
180030000044,디어. 클레어스,18003,스킨 & 토너,데일리 스킨 하이드레이팅 워터,1039
111290100607,해피바스,11129,바디스크럽,[2입] 시암아로마 솔트 스크럽 워시,1040
310050000098,메디안,31005,치약,시크릿쥬쥬 치약 체리쥬빌레,1041
000511000032,피카소,00051,치크(Cheek) 전용,106 블러셔,1042
007021000003,프라다퍼퓸,00702,여성향수,프라다 캔디 슈가팝 EDP 50ML,1043
000511000163,피카소,00051,눈(Eye) 전용,717 아이섀도우 / 아이라이너,1044
007011000519,CEO 보떼,00701,스킨케어,랑팔라투르 맘앤베이비 유기농 샤워젤 250ml (+멀티보호크림 100ML 증정),1045
111860000010,프라도어,11186,여성향수,바디 오 드 뚜왈렛 [02],1046
